Featured_Artist,Count_Trend,Count_Flop,Total_Songs,id_main_artist,Trending_Percentage,Trending_Factor
MACE,0,0,1,ART85046033,.0000,.0000
Achille Lauro,0,0,1,ART85046033,.0000,.0000
Vegas Jones,1,0,1,ART08177154,1.0000,1.0000
Gose,0,0,2,ART85046033,.0000,.0000
Vacca,0,0,1,ART19729064,.0000,.0000
Jax the Messenger,1,0,1,ART57587384,1.0000,1.0000
Noyz Narcos,1,0,1,ART85046033,1.0000,1.0000
Vegas Jones,0,0,1,ART85046033,.0000,.0000
Rkomi,1,0,3,ART85780419,.3333,1.0000
Beba,0,1,1,ART85780419,.0000,-1.0000
Brava Gente,0,0,4,ART62385172,.0000,.0000
UNKNOWNXMADAME,1,0,1,ART20729624,1.0000,1.0000
Gemitaiz,0,0,1,ART04141409,.0000,.0000
Real Talk,0,0,1,ART86549066,.0000,.0000
Bresh,0,0,2,ART89596800,.0000,.0000
Taylor Swift,0,0,1,ART88026810,.0000,.0000
Nitro,0,0,1,ART62385172,.0000,.0000
Spender,0,0,1,ART85046033,.0000,.0000
MadameX,0,1,1,ART20729624,.0000,-1.0000
Finesse,0,0,1,ART61734477,.0000,.0000
Rose Villain,0,0,1,ART86549066,.0000,.0000
Montenero,0,0,2,ART86549066,.0000,.0000
Tiromancino,0,0,1,ART62385172,.0000,.0000
Tony Fine,0,0,1,ART75741740,.0000,.0000
Henry Casper,0,0,1,ART08177154,.0000,.0000
Tedua,1,0,1,ART89596800,1.0000,1.0000
Vipra,0,0,1,ART19605256,.0000,.0000
Nex Cassel,0,0,2,ART04141409,.0000,.0000
Jake La Furia,0,0,1,ART67409252,.0000,.0000
Chris Nolan,3,0,6,ART85780419,.5000,1.0000
LS Lane,0,1,1,ART20729624,.0000,-1.0000
Solo Zippo,0,1,1,ART75741740,.0000,-1.0000
Eriq Trilly,0,0,1,ART08177154,.0000,.0000
Gemitaiz,0,0,1,ART86549066,.0000,.0000
Alto Voltaje,0,0,1,ART04141409,.0000,.0000
Pinto,0,0,1,ART85046033,.0000,.0000
Caparezza,0,0,1,ART71969350,.0000,.0000
Guesan,0,0,1,ART89596800,.0000,.0000
Nardi,0,0,1,ART61734477,.0000,.0000
Bassi Maestro,1,0,1,ART85046033,1.0000,1.0000
Amazing Spa Music,0,1,1,ART19729064,.0000,-1.0000
Clementino,0,0,1,ART04141409,.0000,.0000
MadMan,0,0,1,ART52465778,.0000,.0000
Mariah Carey,0,0,1,ART08177154,.0000,.0000
Ateyaba,1,0,1,ART04141409,1.0000,1.0000
Giso,0,0,3,ART86549066,.0000,.0000
Enula,0,0,1,ART08177154,.0000,.0000
Space One,0,0,1,ART75741740,.0000,.0000
Enzo Avitabile,0,0,2,ART05528539,.0000,.0000
Trey Lorenz,0,0,1,ART08177154,.0000,.0000
Flamentone,0,0,1,ART89596800,.0000,.0000
Sfera Ebbasta,0,0,1,ART86549066,.0000,.0000
Pablo CT1,0,0,1,ART85046033,.0000,.0000
Jaxx Cafe,1,0,1,ART57587384,1.0000,1.0000
Peggy Harley,0,0,1,ART08177154,.0000,.0000
Tek Money,0,0,1,ART04141409,.0000,.0000
Ghali,0,0,1,ART85780419,.0000,.0000
Radici Nel Cemento,0,0,1,ART85046033,.0000,.0000
Poopatch,0,0,1,ART98307962,.0000,.0000
Arlissa,0,0,1,ART04141409,.0000,.0000
Sfera Ebbasta,0,0,1,ART05528539,.0000,.0000
Thema,0,0,1,ART75741740,.0000,.0000
Tay Keith,0,0,1,ART88026810,.0000,.0000
Lazza,0,0,1,ART89596800,.0000,.0000
TheRivati,0,0,1,ART71969350,.0000,.0000
Marracash,1,0,1,ART89596800,1.0000,1.0000
G. Nano,0,0,2,ART62385172,.0000,.0000
Naive,0,0,1,ART19729064,.0000,.0000
Ketama126,0,0,1,ART04141409,.0000,.0000
Marracash,1,0,1,ART52465778,1.0000,1.0000
Tommaso Paradiso,0,0,1,ART89596800,.0000,.0000
AJ Tracey,0,0,1,ART88026810,.0000,.0000
Jake La Furia,0,0,1,ART04141409,.0000,.0000
Samuel Costa,0,0,1,ART52465778,.0000,.0000
Shula,0,0,1,ART57587384,.0000,.0000
De La Soul,0,0,1,ART85046033,.0000,.0000
MV Killa,0,0,1,ART85046033,.0000,.0000
Piotta,1,0,1,ART59609037,1.0000,1.0000
Bassi Maestro,0,1,1,ART24123617,.0000,-1.0000
Cuta,0,0,1,ART85046033,.0000,.0000
Spaghetti Funk,0,0,1,ART75741740,.0000,.0000
Ensi,0,0,1,ART04141409,.0000,.0000
Bresh,0,0,1,ART85780419,.0000,.0000
Mauro Bizzie,0,0,1,ART62385172,.0000,.0000
Relaxing Spa Music,0,1,1,ART19729064,.0000,-1.0000
Mondo Marcio,1,0,1,ART85046033,1.0000,1.0000
Emis Killa,0,0,1,ART04141409,.0000,.0000
LAX,0,1,1,ART59609037,.0000,-1.0000
Rosana,0,0,1,ART75741740,.0000,.0000
Marracash,0,0,1,ART71969350,.0000,.0000
Elisa,0,0,1,ART04141409,.0000,.0000
MadMan,1,0,1,ART46851094,1.0000,1.0000
Salmo,0,0,1,ART85780419,.0000,.0000
Clementino,0,0,1,ART08177154,.0000,.0000
Gaia,0,0,1,ART89596800,.0000,.0000
Averyy,1,0,1,ART88026810,1.0000,1.0000
Jonathan Pryce,0,0,1,ART62385172,.0000,.0000
Warez,0,0,2,ART62385172,.0000,.0000
Shade,0,0,1,ART86549066,.0000,.0000
PUGNI,0,0,1,ART57587384,.0000,.0000
B.o.B,0,0,1,ART19729064,.0000,.0000
J Lord,0,0,1,ART86549066,.0000,.0000
Pyrex,0,0,1,ART89596800,.0000,.0000
Elodie,0,0,1,ART89596800,.0000,.0000
Fuego,0,0,1,ART52465778,.0000,.0000
Clementino,0,0,2,ART85046033,.0000,.0000
Marracash,0,0,2,ART04141409,.0000,.0000
Jake La Furia,0,0,2,ART86549066,.0000,.0000
Gregg Edelman,0,0,1,ART62385172,.0000,.0000
Entics,0,0,2,ART04141409,.0000,.0000
Pakos,0,0,1,ART85046033,.0000,.0000
CaneSecco,0,0,1,ART86549066,.0000,.0000
Remmy,0,0,1,ART62385172,.0000,.0000
ARIETE,0,0,2,ART89596800,.0000,.0000
Ditonellapiaga,0,0,1,ART57587384,.0000,.0000
TrappTony,0,0,1,ART86549066,.0000,.0000
Vincenzo Da Via Anfossi,0,0,1,ART04141409,.0000,.0000
Salmo,1,0,1,ART85046033,1.0000,1.0000
Frah Quintale,0,0,1,ART85046033,.0000,.0000
Sangue Mostro,0,0,1,ART71969350,.0000,.0000
Giaime,0,0,1,ART85046033,.0000,.0000
Coez,0,0,1,ART04141409,.0000,.0000
Ensi,0,0,1,ART86549066,.0000,.0000
Rahman[OR,1,0,1,ART04141409,1.0000,1.0000
Tylil,0,1,1,ART85780419,.0000,-1.0000
Tedua,1,0,1,ART85046033,1.0000,1.0000
Paola Imprudente,0,0,1,ART05528539,.0000,.0000
Nex Cassel,0,0,2,ART62385172,.0000,.0000
DJ Shocca,0,0,1,ART85046033,.0000,.0000
Jovanotti,0,0,1,ART08177154,.0000,.0000
CoCo,0,0,3,ART05528539,.0000,.0000
VillaBanks,0,0,1,ART61734477,.0000,.0000
Roshelle,0,0,1,ART89596800,.0000,.0000
Kelly Price,0,0,1,ART08177154,.0000,.0000
Geolier,0,0,1,ART85780419,.0000,.0000
Marco Mengoni,0,0,1,ART85046033,.0000,.0000
Mattak,1,0,1,ART46851094,1.0000,1.0000
Liz Stewart,0,0,1,ART08177154,.0000,.0000
Big Joe,0,0,1,ART86549066,.0000,.0000
Killa Cali,0,0,1,ART85046033,.0000,.0000
Jessie J,0,0,1,ART19729064,.0000,.0000
